system,n_total,n_detected,n_failed,detection_rate_pct,failure_criterion,all_frames_pck,all_frames_mpjpe_px,all_frames_mse_px2,all_frames_auc,detected_only_pck,detected_only_mpjpe_px,detected_only_mse_px2,detected_only_auc,detected_only_n
mediapipe_sdk,2727,1806,921,66.2266,"MediaPipe Hands SDK (mp.solutions.hands.Hands: static_image_mode=True, max_num_hands=1, model_complexity=1, min_detection_confidence=0.01). Failure iff result.multi_hand_landmarks is None -- the SDK's internal BlazePalm detector + hand-landmark model jointly return no hand for the frame. min_detection_confidence=0.01 is the only externally-set threshold; everything else is MediaPipe's own internal graph.",0.596696,100.754044,22936.033203,0.552629,0.900991,21.583767,1211.465698,0.834452,1806
zmurez_blazehand,2727,2183,544,80.0513,"BlazeHandLandmark (student_model/blazehand_landmark.pth), run on the full 256x256 crop through an IDENTITY roi (extract_roi(img, xc=128, yc=128, theta=0, scale=256)) -- BlazePalm is never constructed or called anywhere in this path. Failure iff hand_flag <= 0.5, where hand_flag = sigmoid(hand_flag_head(x)) is BlazeHandLandmark's OWN presence output (student_model/blazehand_landmark.py: self.hand_flag = nn.Conv2d(288, 1, 2); forward() returns hand_flag.view(-1).sigmoid()). This is a model-internal confidence threshold, NOT a BlazePalm rejection -- BlazePalm is absent from this path entirely.",0.626679,78.245995,14672.469727,0.589484,0.782846,33.949997,1997.360962,0.736382,2183
student,2727,2727,0,100.0000,"BlazeHandLandmark (checkpoints/distilled_v2_ft_epoch_150.pth), fed the raw 256x256 crop tensor directly -- no extract_roi, no BlazePalm. Failure iff hand_flag <= 0.5, the same presence head as the zmurez weights (identical architecture, distilled parameters). Empirically this never fires on the RHD test set -- see detection_rate_pct below.",0.818796,30.139128,1919.651611,0.768556,0.818796,30.139128,1919.651611,0.768556,2727
