C:\Users\Bea Juliana Poquiz\Desktop\mmpose_thesis\.venv\lib\site-packages\mmpose\datasets\datasets\utils.py:102: UserWarning: The metainfo config file "configs/_base_/datasets/rhd2d.py" does not exist. A matched config file "C:\Users\Bea Juliana Poquiz\Desktop\mmpose_thesis\.venv\lib\site-packages\mmpose\.mim\configs\_base_\datasets\rhd2d.py" will be used instead.
  warnings.warn(
Device: cuda
Loaded MediaPipe pretrained weights as starting point (matches distillation_v2.py)
loading annotations into memory...
Done (t=5.65s)
creating index...
index created!
[v2match] train set: rhd_train.json, 41255 images (full, matches distillation_v2.py:104-108, no subsetting)
loading annotations into memory...
Done (t=0.30s)
creating index...
index created!
[v2match] monitoring set: first 200 of rhd_test.json (2727 total), matching distillation_v2.py's VAL_SAMPLES=200 default and its batch_size=1/shuffle=False iteration order. NOTE: this is V2's own monitoring instrument, reused for parity -- it is not a held-out set (it is part of the file everything is finally scored on), so it does not license early stopping. See heldout protocol for that.
  sanity[0] transformed_keypoints mean=[133.7 132.2] in-range=True
  sanity[1] transformed_keypoints mean=[129.5 139.3] in-range=True
  sanity[2] transformed_keypoints mean=[132.7 140.5] in-range=True

=======================================================
R2-05 PARITY-CONTROLLED DIRECT SUPERVISION RETRAIN
run_name=parity_baseline  weight_decay=0.0  early_stop=False  strong_aug=False
Target: hard GT keypoints (gt_instances.transformed_keypoints, crop-space, bug-fixed)
Loss: Wing(w=10) + 0.002*Bone  |  Aug: matches distillation_v2.py
LR: Cosine 1e-4 -> 1e-6 over 100 epochs  |  Adam wd=0.0
=======================================================

Epoch [1/100] Step [1080/1290] Loss:23.6716 Wing:22.6767 Bone:497.4185
Epoch [1/100] Step [1100/1290] Loss:23.3338 Wing:22.4174 Bone:458.1819
Epoch [1/100] Step [1120/1290] Loss:23.7060 Wing:22.8334 Bone:436.3025
Epoch [1/100] Step [1140/1290] Loss:23.2420 Wing:22.4539 Bone:394.0318
Epoch [1/100] Step [1160/1290] Loss:24.1797 Wing:23.1738 Bone:502.9421
Epoch [1/100] Step [1180/1290] Loss:22.3581 Wing:21.5446 Bone:406.7614
Epoch [1/100] Step [1200/1290] Loss:21.8076 Wing:20.9852 Bone:411.2473
Epoch [1/100] Step [1220/1290] Loss:30.5681 Wing:28.2817 Bone:1143.1923
Epoch [1/100] Step [1240/1290] Loss:23.0281 Wing:22.3858 Bone:321.1416
Epoch [1/100] Step [1260/1290] Loss:23.9177 Wing:22.9008 Bone:508.4432
Epoch [1/100] Step [1280/1290] Loss:24.4148 Wing:23.5503 Bone:432.2592
===> Epoch 1 | Loss:27.7658 | Wing:26.2926 | Bone:736.6059 | LR:1.00e-04 | 531.5s/epoch (1290 steps)
    Peak CUDA memory allocated so far: 1372.4 MB
Epoch [2/100] Step [0/1290] Loss:19.6720 Wing:19.1365 Bone:267.7145
Epoch [2/100] Step [20/1290] Loss:24.1819 Wing:23.2530 Bone:464.4627
Epoch [2/100] Step [40/1290] Loss:23.1066 Wing:22.3165 Bone:395.0630
Epoch [2/100] Step [60/1290] Loss:20.8930 Wing:20.1250 Bone:383.9908
Epoch [2/100] Step [80/1290] Loss:21.6915 Wing:20.8004 Bone:445.5674
Epoch [2/100] Step [100/1290] Loss:19.5457 Wing:18.9652 Bone:290.2652
Epoch [2/100] Step [120/1290] Loss:20.8513 Wing:20.1811 Bone:335.0930
Epoch [2/100] Step [140/1290] Loss:21.0868 Wing:20.2754 Bone:405.6968
Epoch [2/100] Step [160/1290] Loss:20.1061 Wing:19.5764 Bone:264.8105
Epoch [2/100] Step [180/1290] Loss:21.9063 Wing:20.9745 Bone:465.8976
Epoch [2/100] Step [200/1290] Loss:21.2717 Wing:20.6320 Bone:319.8428
Epoch [2/100] Step [220/1290] Loss:20.5962 Wing:19.7577 Bone:419.2615
Epoch [2/100] Step [240/1290] Loss:23.2972 Wing:22.4204 Bone:438.4370
Epoch [2/100] Step [260/1290] Loss:23.7756 Wing:22.7757 Bone:499.9290
Epoch [2/100] Step [280/1290] Loss:22.9949 Wing:22.0985 Bone:448.2114
Epoch [2/100] Step [300/1290] Loss:21.2947 Wing:20.4874 Bone:403.6371
Epoch [2/100] Step [320/1290] Loss:26.8817 Wing:25.7619 Bone:559.8849
Epoch [2/100] Step [340/1290] Loss:21.5885 Wing:21.1280 Bone:230.2386
Epoch [2/100] Step [360/1290] Loss:21.8029 Wing:21.0516 Bone:375.6648
Epoch [2/100] Step [380/1290] Loss:21.9286 Wing:20.8607 Bone:533.9466
Epoch [2/100] Step [400/1290] Loss:21.9459 Wing:21.2739 Bone:336.0159
Epoch [2/100] Step [420/1290] Loss:19.8382 Wing:19.2753 Bone:281.4498
Epoch [2/100] Step [440/1290] Loss:19.4185 Wing:18.9842 Bone:217.1605
Epoch [2/100] Step [460/1290] Loss:22.2867 Wing:21.5038 Bone:391.4878
Epoch [2/100] Step [480/1290] Loss:22.2859 Wing:21.5805 Bone:352.7055
Epoch [2/100] Step [500/1290] Loss:20.5868 Wing:20.0110 Bone:287.9070
Epoch [2/100] Step [520/1290] Loss:21.4023 Wing:20.7740 Bone:314.1376
Epoch [2/100] Step [540/1290] Loss:24.8358 Wing:23.5340 Bone:650.9396
Epoch [2/100] Step [560/1290] Loss:21.0599 Wing:20.1348 Bone:462.5038
Epoch [2/100] Step [580/1290] Loss:22.2513 Wing:21.5019 Bone:374.7004
Epoch [2/100] Step [600/1290] Loss:20.4698 Wing:19.8945 Bone:287.6223
Epoch [2/100] Step [620/1290] Loss:21.5339 Wing:20.7731 Bone:380.4035
Epoch [2/100] Step [640/1290] Loss:19.8116 Wing:19.1459 Bone:332.8596
Epoch [2/100] Step [660/1290] Loss:19.9556 Wing:19.1906 Bone:382.4842
Epoch [2/100] Step [680/1290] Loss:21.2707 Wing:20.5284 Bone:371.1252
Epoch [2/100] Step [700/1290] Loss:23.8015 Wing:22.7016 Bone:549.9525
Epoch [2/100] Step [720/1290] Loss:26.2709 Wing:25.1892 Bone:540.8633
Epoch [2/100] Step [740/1290] Loss:19.6783 Wing:18.8818 Bone:398.2817
Epoch [2/100] Step [760/1290] Loss:26.3568 Wing:25.2524 Bone:552.2211
Epoch [2/100] Step [780/1290] Loss:21.6842 Wing:20.8620 Bone:411.0555
Epoch [2/100] Step [800/1290] Loss:21.8372 Wing:21.1062 Bone:365.4651
Epoch [2/100] Step [820/1290] Loss:22.8536 Wing:21.9663 Bone:443.6599
Epoch [2/100] Step [840/1290] Loss:19.3244 Wing:18.7055 Bone:309.4708
Epoch [2/100] Step [860/1290] Loss:20.8912 Wing:20.0575 Bone:416.8416
Epoch [2/100] Step [880/1290] Loss:21.3222 Wing:20.4613 Bone:430.4201
Epoch [2/100] Step [900/1290] Loss:19.9265 Wing:19.2974 Bone:314.5290
Epoch [2/100] Step [920/1290] Loss:17.5016 Wing:16.9732 Bone:264.2003
Epoch [2/100] Step [940/1290] Loss:24.4534 Wing:23.4211 Bone:516.1437
Epoch [2/100] Step [960/1290] Loss:21.3324 Wing:20.7080 Bone:312.2130
