epoch,train_loss,train_wing,train_bone,lr,epoch_seconds,val_pck,val_auc,val_mpjpe,val_n
86,11.121599,10.955073,83.262919,5.71106090e-06,796.51,,,,
87,11.109177,10.942959,83.108586,5.07114603e-06,1274.75,,,,
88,11.081145,10.917277,81.934236,4.47606395e-06,1226.89,,,,
89,11.101229,10.934393,83.418168,3.92640194e-06,1210.63,,,,
90,11.095649,10.928055,83.797073,3.42270244e-06,1210.98,0.961667,0.888835,14.2548,200
91,11.089726,10.922615,83.555350,2.96546256e-06,2639.19,,,,
92,11.061755,10.896210,82.772700,2.55513352e-06,883.89,,,,
93,11.057653,10.892781,82.436392,2.19212028e-06,864.87,,,,
94,11.076182,10.908013,84.084720,1.87678109e-06,852.49,,,,
95,11.037866,10.872577,82.644357,1.60942714e-06,4351.96,0.957381,0.887719,14.4013,200
96,11.049339,10.884435,82.451977,1.39032228e-06,742.42,,,,
97,11.039316,10.874957,82.179382,1.21968275e-06,727.66,,,,
98,11.052794,10.885396,83.698725,1.09767694e-06,689.35,,,,
99,11.065674,10.900664,82.504982,1.02442526e-06,736.57,,,,
100,11.054853,10.887563,83.644795,1.00000000e-06,777.21,0.958810,0.887901,14.3463,200
