epoch,train_loss,train_wing,train_bone,lr,epoch_seconds,val_pck,val_auc,val_mpjpe,val_n
1,47.830184,42.248713,2790.734985,9.99755747e-05,12.10,,,,
2,42.043862,37.735631,2154.115277,9.99023231e-05,9.86,,,,
3,40.532652,36.637574,1947.538800,9.97803172e-05,9.08,,,,
4,38.221694,34.925739,1647.977725,9.96096777e-05,8.63,,,,
5,37.634273,34.728755,1452.758838,9.93905729e-05,9.36,0.682381,0.657099,44.5010,200
